"Food Insecurity (%)","JHU COVID-19 Mortality Rate (Deaths/100k)","CDC COVID-19 Mortality Rate (Deaths/100k)"
"Population","0.06","0.01","0.15"
"Population Density","0.15","0.19","0.22"
"Food Insecurity (%)","--","0.55","0.23"
"JHU COVID-19 Mortality Rate (Deaths/100k)","0.55","--","0.45"
"CDC COVID-19 Mortality Rate (Deaths/100k)","0.23","0.45","--"
"Median Age","-0.11","-0.07","-0.02"
"% Female","0.10","0.05","0.06"
"% Native American","0.15","0.24","0.19"
"% Hispanic","0.17","0.17","0.11"
"% Black","0.29","0.17","0.03"
"% Asian","-0.26","-0.17","-0.04"
"% Non-Hispanic White","-0.23","-0.19","-0.11"
"% Foreign Born","-0.11","-0.02","0.11"
"% Employed in Trade/Retail","0.10","0.06","0.06"
"% Employed in Transportation","0.21","0.33","0.24"
"% w/ < HS Diploma","0.59","0.53","0.29"
"% at least 4-yr college degree","-0.57","-0.48","-0.30"
"Poverty Rate (%)","0.86","0.53","0.30"
"% Disabled","0.51","0.41","0.24"
"% w/ Health Insurance","0.03","0.07","-0.06"
"% w/ No Vehicle Access","0.16","0.20","0.23"
"Median Household (HH) Income","-0.74","-0.44","-0.27"
"Average HH Size","-0.07","0.12","0.07"
"Gini Index","0.38","0.15","0.13"
"2020 General Election Vote Differential","0.14","0.20","0.06"
"COVID-19 Incidence (CDC)","0.22","0.40","0.39"
"% Vaccinated","-0.34","-0.30","-0.04"
"Population:Emergency Physicians","-0.13","-0.27","-0.16"
"Health Index","0.57","0.39","0.15"
