"Characteristic","Combined Sample (n = 3102","Metropolitan (n = 1159","Non-Metropolitan (n = 1943","p"
"1","Population","104498.81 (333738.08)","240423.30 (517632.59)","23419.82 (21863.03)","< 0.01**"
"2","Population Density","274.52 (1809.27)","663.08 (2917.15)","42.74 (94.40)","< 0.01**"
"3","Food Insecurity (%)","11.50 (2.98)","11.21 (2.79)","13.29 (3.42)","< 0.01**"
"4","JHU COVID-19 Mortality Rate (Deaths/100k)","440.96 (426.33)","328.19 (287.17)","508.23 (478.48)","< 0.01**"
"5","CDC COVID-19 Mortality Rate (Deaths/100k)","209.68 (114.20)","207.69 (109.23)","221.86 (140.28)","0.2"
"6","Median Age","38.56 (4.30)","38.08 (3.94)","41.55 (5.12)","< 0.01**"
"7","% Female","50.77 (1.26)","50.90 (0.99)","49.94 (2.13)","< 0.01**"
"8","% Native American","0.93 (2.99)","0.75 (1.41)","2.05 (7.07)","0.41"
"9","% Hispanic","18.25 (17.11)","19.79 (17.17)","8.76 (13.24)","< 0.01**"
"10","% Black","12.70 (12.68)","13.44 (12.31)","8.20 (13.89)","< 0.01**"
"11","% Asian","5.50 (6.26)","6.27 (6.42)","0.82 (0.83)","< 0.01**"
"12","% Non-Hispanic White","60.25 (21.94)","57.33 (20.97)","78.12 (19.03)","< 0.01**"
"13","% Foreign Born","13.51 (10.93)","15.09 (10.89)","3.82 (4.08)","< 0.01**"
"14","% Employed in Trade/Retail","13.80 (1.87)","13.80 (1.80)","13.84 (2.25)","0.78"
"15","% Employed in Transportation","5.39 (1.67)","5.40 (1.66)","5.37 (1.73)","0.88"
"16","% w/ < HS Diploma","12.09 (5.28)","11.82 (5.10)","13.77 (6.02)","< 0.01**"
"17","% at least 4-yr college degree","32.10 (11.27)","34.09 (10.51)","19.96 (7.51)","< 0.01**"
"18","Poverty Rate (%)","12.55 (4.56)","12.13 (4.25)","15.15 (5.48)","< 0.01**"
"19","% Disabled","0.57 (0.24)","0.56 (0.21)","0.64 (0.40)","0.13"
"20","% w/ Health Insurance","82.43 (3.19)","82.45 (2.91)","82.29 (4.55)","0.35"
"21","% w/ No Vehicle Access","1.97 (3.76)","2.12 (4.02)","1.03 (0.82)","< 0.01**"
"22","Median Household (HH) Income","68740.63 (18837.27)","71513.92 (18482.23)","51758.19 (10023.98)","< 0.01**"
"23","Average HH Size","2.64 (0.26)","2.67 (0.26)","2.49 (0.23)","< 0.01**"
"24","Gini Index","0.46 (0.03)","0.46 (0.03)","0.45 (0.03)","< 0.01**"
"25","2020 General Election Vote Differential","-4.79 (33.82)","-11.07 (30.50)","33.67 (27.01)","< 0.01**"
"26","COVID-19 Incidence (CDC)","15352.95 (3515.26)","15083.37 (3380.87)","17003.78 (3855.11)","< 0.01**"
"27","% Vaccinated","58.21 (12.12)","60.08 (11.13)","46.75 (11.61)","< 0.01**"
"28","Population:Emergency Physicians","1.74 (1.03)","1.83 (0.99)","1.17 (1.10)","< 0.01**"
"29","Health Index","-1.47 (1.86)","-1.77 (1.67)","0.37 (1.91)","< 0.01**"
