"model","criterion.used","fixed.eff","model.criterion.value","base.criterion.value","criterion.diff","runs.required"
"1",1,"waic","pct.emp.trans",3504.32488545885,3500.87949191242,-3.44539354643621,1
"2",2,"waic","no.vehic",3516.49908784438,3500.87949191242,-15.6195959319662,1
"3",3,"waic","disability",3519.15659208413,3500.87949191242,-18.2771001717156,1
"4",4,"waic","no.health.insur",3515.27272183289,3500.87949191242,-14.3932299204707,1
"5",5,"waic","perc.nh.white",3509.18616880982,3500.87949191242,-8.30667689740176,1
"6",6,"waic","perc.native",3502.73628525986,3500.87949191242,-1.85679334744782,1
"7",7,"waic","pop.density",3518.42114164989,3500.87949191242,-17.5416497374727,1
"8",8,"waic","ed.1less.than.hspct",3514.35946055624,3500.87949191242,-13.4799686438182,1
"9",9,"waic","ed.5college.plus.pct",3508.2094133183,3500.87949191242,-7.32992140588249,1
"10",10,"waic","pct.emp.trade",3513.92502495596,3500.87949191242,-13.0455330435443,1
"11",11,"waic","perc.asian",3513.12837494104,3500.87949191242,-12.2488830286279,1
"12",12,"waic","perc.vaccinated",3513.48727168197,3500.87949191242,-12.6077797695502,1
"13",13,"waic","gini.index",3516.48641239877,3500.87949191242,-15.606920486352,1
"14",14,"waic","avg.hhsize",3511.5858766275,3500.87949191242,-10.7063847150876,1
"15",15,"waic","ratio.pop.edp",3519.90496182393,3500.87949191242,-19.0254699115171,1
"16",16,"waic","urb.cat.code",3516.49565191992,3500.87949191242,-15.6161600075038,1
