"model","criterion.used","fixed.eff","model.criterion.value","base.criterion.value","criterion.diff","runs.required"
"1",1,"waic","pct.emp.trans",3408.19837184975,3366.42491764067,-41.7734542090843,1
"2",2,"waic","no.vehic",3493.92968253294,3366.42491764067,-127.504764892276,1
"3",3,"waic","disability",3433.05280918816,3366.42491764067,-66.6278915474913,1
"4",4,"waic","no.health.insur",3834.42015964013,3366.42491764067,-467.995241999467,1
"5",5,"waic","pop.density",3431.13111520721,3366.42491764067,-64.7061975665474,1
"6",6,"waic","ed.1less.than.hspct",3388.82777172071,3366.42491764067,-22.4028540800459,1
"7",7,"waic","ed.5college.plus.pct",3395.30285537507,3366.42491764067,-28.877937734399,1
"8",8,"waic","pct.emp.trade",3420.53884995487,3366.42491764067,-54.1139323142029,1
"9",9,"waic","perc.asian",3396.60736304177,3366.42491764067,-30.182445401103,1
"10",10,"waic","perc.vaccinated",3976.01761350455,3366.42491764067,-609.592695863882,1
"11",11,"waic","gini.index",3417.27265139657,3366.42491764067,-50.8477337559061,1
"12",12,"waic","avg.hhsize",3410.01416643508,3366.42491764067,-43.5892487944107,1
"13",13,"waic","elec.2020.margin",3947.68915499138,3366.42491764067,-581.264237350717,1
"14",14,"waic","ratio.pop.edp",3423.231820843,3366.42491764067,-56.8069032023354,1
"15",15,"waic","urb.cat.code",3406.83241989828,3366.42491764067,-40.4075022576126,1
