"mean","X0.025quant","X0.975quant"
"I(fi.perc.20/4)","0.00100","-0.0560","0.0570"
"pct.emp.trans","0.00500","-0.00300","0.0130"
"unemp.rate","0.0100","-0.0110","0.0310"
"no.vehic","0.0180","0.00100","0.0350"
"disability","-0.00300","-0.0420","0.0360"
"no.health.insur","0.00100","-0.00300","0.00400"
"perc.black","0.00300","-0.00700","0.0140"
"perc.female","0.0270","0.0190","0.0350"
"perc.hisp","0.00200","-0.00900","0.0130"
"perc.nh.white","-0.00300","-0.0130","0.00800"
"perc.native","0.00300","-0.00800","0.0140"
"pop.density","0","0","0"
"ed.1less.than.hspct","0.00200","-0.00300","0.00700"
"ed.5college.plus.pct","-0.00300","-0.00600","0.00100"
"pct.emp.trade","0.00200","-0.00400","0.00700"
"median.age","-0.00900","-0.0130","-0.00500"
"perc.asian","0.0150","0.00200","0.0280"
"poverty.rate","-0.00300","-0.0100","0.00400"
"perc.vaccinated","-0.00200","-0.00300","0"
"gini.index","0.242","-0.242","0.726"
"avg.hhsize","0.0170","-0.0710","0.105"
"elec.2020.margin","0.00300","0.00100","0.00400"
"ratio.pop.edp","-0.00500","-0.0160","0.00600"
"health.index","0.0850","0.0640","0.106"
"sir.cdc","0.957","0.879","1.03"
"urb.cat.codeNon-metropolitan","-0.0130","-0.0440","0.0170"
"sir.cdc.state","-0.215","-0.640","0.214"
"health.index.state","-0.0510","-0.138","0.0400"
"elec.2020.margin.state","0","-0.00600","0.00700"
"perc.vaccinated.state","-0.00600","-0.0120","0.00100"
