"mean","X0.025quant","X0.975quant"
"I(fi.perc.20/4)","0.100","0.0180","0.183"
"pct.emp.trans","0.0140","0.00300","0.0250"
"unemp.rate","-0.0210","-0.0470","0.00500"
"no.vehic","0.0150","-0.0120","0.0410"
"disability","-0.0250","-0.0760","0.0270"
"no.health.insur","0.00400","-0.00100","0.00900"
"perc.black","0.0210","0.00400","0.0370"
"perc.female","0.0380","0.0270","0.0480"
"perc.hisp","0.0170","0.00100","0.0340"
"perc.nh.white","0.00300","-0.0130","0.0190"
"perc.native","0.0230","0.00600","0.0390"
"pop.density","0","0","0"
"ed.1less.than.hspct","0.00400","-0.00300","0.0110"
"ed.5college.plus.pct","-0.0140","-0.0200","-0.00900"
"pct.emp.trade","0.00300","-0.00500","0.0100"
"median.age","-0.00200","-0.00800","0.00400"
"perc.asian","0.0250","0.00500","0.0460"
"poverty.rate","-0.0150","-0.0250","-0.00500"
"perc.vaccinated","-0.00200","-0.00500","0"
"gini.index","1.41","0.739","2.08"
"avg.hhsize","-0.232","-0.358","-0.106"
"elec.2020.margin","0.00800","0.00600","0.00900"
"ratio.pop.edp","0.0150","0","0.0300"
"health.index","0.135","0.104","0.167"
"sir.jhu","0.976","0.852","1.10"
"urb.cat.codeNon-metropolitan","0.0140","-0.0340","0.0620"
"sir.jhu.state","0.147","-0.671","0.975"
"health.index.state","-0.00500","-0.112","0.101"
"elec.2020.margin.state","-0.00400","-0.0130","0.00500"
"perc.vaccinated.state","-0.0110","-0.0190","-0.00300"
